date,dex_volume_usd,curve_volume_usd,bridge_deposit_usd,bridge_withdraw_usd,bridge_net_flow,eth_stablecoin_supply,eth_stablecoin_minted,eth_stablecoin_bridged
2023-06-04,1235402889,60071842.0,129312512.94199543,149233469.90838838,-19920956.96639295,68794323115,77286583972,103173475
2023-06-05,3133145589,156898091.0,150348345.04212224,261512397.2958036,-111164052.25368136,68821080672,77313479362,103164140
2023-06-06,2808073374,160887492.0,171835876.33933604,171777079.03292722,58797.30640882254,68717390689,77151717450,103094755
2023-06-07,2620562886,166978703.0,163535053.29294428,148395963.80427974,15139089.488664538,68463059256,76896257695,103068989
2023-06-08,1846003186,142478494.0,133833190.28801319,185109503.79430133,-51276313.50628814,68250077282,76697596667,103100840
2023-06-09,1821020389,142741737.0,137509600.52721128,121567592.11499396,15942008.412217319,68126632313,76565178803,103044628
2023-06-10,3971845525,367829096.0,144575501.7665912,142151137.31130606,2424364.455285132,67814093316,76227206353,103054550
2023-06-11,1402255020,135099623.0,144711473.09713522,113992612.0590626,30718861.038072616,67929280999,76341883925,102917157
2023-06-12,2294636397,253462451.0,185719991.5018943,191516947.81918883,-5796956.317294538,67992983398,76421372963,102977161
2023-06-13,2188938712,195085501.0,178330963.86357403,134217427.34372339,44113536.51985064,68416580692,76832840504,103272647
2023-06-14,2503427463,250548204.0,213095652.30867547,147279659.15742856,65815993.151246905,68475574668,76875523289,103200848
2023-06-15,2662780044,,218050930.10784099,184927330.78069004,33123599.32715094,68304911256,76695616353,103293935
2023-06-16,2109074574,298924502.0,163425035.97775096,149955460.29532036,13469575.682430595,68275360000,76649661369,103100569
2023-06-17,1546839903,143709337.0,164468905.50306815,188354094.36598718,-23885188.862919033,69668053790,78015379265,103049863
2023-06-18,1223481423,55928365.0,122648494.09136689,110819784.5587251,11828709.532641783,69648835734,77986458934,103292820
2023-06-19,1817399467,199890236.0,150722061.53491184,158203423.96924424,-7481362.434332401,69740100003,78069237251,103124245
2023-06-20,2576204415,256449689.0,180341424.57973075,192216011.6544937,-11874587.07476294,69950129598,78243717016,103051517
2023-06-21,3959371682,248575565.0,121276003.81268035,130115647.36950345,-8839643.556823105,70408976950,78727805472,102957346
2023-06-22,3001037826,251128248.0,116758684.81665856,92053494.02542692,24705190.791231632,69995264171,78297969939,103126633
2023-06-23,3041822521,213514146.0,31524223.224050526,22401806.220100433,9122417.003950093,69823382589,78156198850,103081384
2023-06-24,1604167560,102784245.0,62576452.32317695,43486278.56553117,19090173.75764578,69862664998,78206382537,103165932
2023-06-25,2055479522,116497893.0,47457870.39798354,28738353.260775626,18719517.137207918,69942873462,78299726267,103468514
2023-06-26,2602261640,200409684.0,73918760.0098871,77655050.66984443,-3736290.6599573344,69829407874,78178803612,103032023
2023-06-27,2533648425,131265013.0,113684957.47882904,192274792.696123,-78589835.21729396,69791734472,78111923482,103154841
2023-06-28,2206015124,151121402.0,93333903.42448792,99931643.79005286,-6597740.365564942,69693692226,78026954076,103307414
2023-06-29,2014379972,169632260.0,100921303.57008469,99320190.55557396,1601113.0145107359,69370235383,77692411638,103072438
2023-06-30,3904813865,261002410.0,193416584.98585862,197157613.9539594,-3741028.968100786,69201906519,77506822085,101915293
2023-07-01,1661805751,93627369.0,148416982.91889417,135950189.50024912,12466793.418645054,68574807142,76889377003,102022949
2023-07-02,1796066199,90096965.0,170200828.95387483,135555107.5400081,34645721.41386673,68640717702,76870205446,101950574
2023-07-03,2361389184,173165883.0,194513254.75874162,192081633.05167323,2431621.7070683837,68670628452,76911940448,102091683
2023-07-04,1989569729,175427831.0,177673865.39852506,189395637.32514653,-11721771.926621467,69172453970,77115189434,101460557
2023-07-05,1924237144,150626939.0,93854647.70009385,114764729.84417759,-20910082.14408374,69104881476,77045062482,101274600
2023-07-06,2540061848,175048958.0,204129510.3138134,367296414.0581519,-163166903.7443385,69041395557,76947080149,101244408
2023-07-07,2196397496,165087377.0,155040701.6704439,204558701.44300085,-49517999.77255696,68691450491,76622026236,101051177
2023-07-08,1426962923,63504872.0,160803484.87031394,154620643.06427625,6182841.806037694,68685173800,76619974299,101213758
2023-07-09,1322839528,76100673.0,172311056.9712083,187085146.09810993,-14774089.126901627,68639727952,76573990042,101245643
2023-07-10,2518353103,248929907.0,171342686.31796148,188817606.3297995,-17474920.01183802,68572577926,76506875853,100901626
2023-07-11,1728987193,142361603.0,207096985.2102113,212879482.5352451,-5782497.325033784,68462335341,76366430272,101216265
2023-07-12,1922786508,169334747.0,197040350.001223,191658320.4020861,5382029.599136889,68323965153,76235317985,101135610
2023-07-13,3423182571,267178677.0,193732547.87110847,207636793.8379165,-13904245.966808021,68107440981,76022232193,101132314
2023-07-14,3338795951,256122445.0,182825063.64635834,212450771.43557128,-29625707.789212942,68260321076,76184293663,101323753
2023-07-15,1588926516,92537594.0,183440334.24875593,175141342.0856853,8298992.163070619,68142663383,76046709388,101153925
