date,hhi_component,share_pct,tier,volume_usd
2023-03-01 00:00:00.000 UTC,66.16,8.13,Tier3,139227673.399414
2023-03-02 00:00:00.000 UTC,8044.96,89.69,Tier1,2525865872.557116
2023-03-02 00:00:00.000 UTC,0.13,0.36,Tier2,10000000
2023-03-02 00:00:00.000 UTC,99.03,9.95,Tier3,280236034.2441771
2023-03-03 00:00:00.000 UTC,8012.66,89.51,Tier1,5234976703.433868
2023-03-03 00:00:00.000 UTC,46.78,6.84,Tier2,400000000
2023-03-03 00:00:00.000 UTC,13.3,3.65,Tier3,213281175.68192792
2023-03-04 00:00:00.000 UTC,497.13,22.3,Tier1,1040630616.1835206
2023-03-04 00:00:00.000 UTC,5949.49,77.13,Tier2,3600000000
2023-03-04 00:00:00.000 UTC,0.33,0.57,Tier3,26637209.900245998
2023-03-05 00:00:00.000 UTC,8333.67,91.29,Tier1,639107939.2633338
2023-03-05 00:00:00.000 UTC,75.88,8.71,Tier3,60985435.55832201
2023-03-06 00:00:00.000 UTC,7757.48,88.08,Tier1,2179563187.487315
2023-03-06 00:00:00.000 UTC,0.06,0.24,Tier2,5994006
2023-03-06 00:00:00.000 UTC,136.45,11.68,Tier3,289066652.0130828
2023-03-07 00:00:00.000 UTC,6070.83,77.92,Tier1,2012955576.964177
2023-03-07 00:00:00.000 UTC,0.05,0.23,Tier2,5994006
2023-03-07 00:00:00.000 UTC,477.53,21.85,Tier3,564559462.613855
2023-03-08 00:00:00.000 UTC,7713.55,87.83,Tier1,1121485118.8764498
2023-03-08 00:00:00.000 UTC,0.02,0.16,Tier2,1998002
2023-03-08 00:00:00.000 UTC,144.4,12.02,Tier3,153444948.23746893
2023-03-09 00:00:00.000 UTC,8652.53,93.02,Tier1,1426184565.4730387
2023-03-09 00:00:00.000 UTC,0,0.03,Tier2,500000
2023-03-09 00:00:00.000 UTC,48.28,6.95,Tier3,106534135.37192899
2023-03-10 00:00:00.000 UTC,6141.04,78.36,Tier1,6849522135.030174
2023-03-10 00:00:00.000 UTC,0.01,0.08,Tier2,7000000
2023-03-10 00:00:00.000 UTC,464.62,21.56,Tier3,1884039716.3478835
2023-03-11 00:00:00.000 UTC,1005.72,31.71,Tier1,3872897766.8197246
2023-03-11 00:00:00.000 UTC,1.03,1.02,Tier2,124210389.62
2023-03-11 00:00:00.000 UTC,4525.22,67.27,Tier3,8215181537.346004
2023-03-12 00:00:00.000 UTC,836.58,28.92,Tier1,1161735987.5502663
2023-03-12 00:00:00.000 UTC,1.49,1.22,Tier2,49000000
2023-03-12 00:00:00.000 UTC,4879.92,69.86,Tier3,2805826768.772619
2023-03-13 00:00:00.000 UTC,4623.24,67.99,Tier1,4944756772.201028
2023-03-13 00:00:00.000 UTC,6.05,2.46,Tier2,178896103.9
2023-03-13 00:00:00.000 UTC,872.94,29.55,Tier3,2148644892.9862256
2023-03-14 00:00:00.000 UTC,3967.81,62.99,Tier1,3560680024.158985
2023-03-14 00:00:00.000 UTC,594.78,24.39,Tier2,1378587604.8000002
2023-03-14 00:00:00.000 UTC,159.3,12.62,Tier3,713452215.1068739
2023-03-15 00:00:00.000 UTC,4952.64,70.38,Tier1,2467626873.7564454
2023-03-15 00:00:00.000 UTC,133.88,11.57,Tier2,405707371.37
2023-03-15 00:00:00.000 UTC,325.96,18.05,Tier3,633061844.7393699
2023-03-16 00:00:00.000 UTC,3727.02,61.05,Tier1,2799057011.84343
2023-03-16 00:00:00.000 UTC,801.81,28.32,Tier2,1298272424.45
2023-03-16 00:00:00.000 UTC,113.09,10.63,Tier3,487581630.00949794
2023-03-17 00:00:00.000 UTC,5664.43,75.26,Tier1,2240450847.0866423
2023-03-17 00:00:00.000 UTC,38.08,6.17,Tier2,183708989.98999998
2023-03-17 00:00:00.000 UTC,344.71,18.57,Tier3,552692016.1010414
2023-03-18 00:00:00.000 UTC,3341.47,57.81,Tier1,341135285.7230661
2023-03-18 00:00:00.000 UTC,23.84,4.88,Tier2,28815184.82
2023-03-18 00:00:00.000 UTC,1392.17,37.31,Tier3,220193414.18738496
2023-03-19 00:00:00.000 UTC,4078.2,63.86,Tier1,300740912.65515196
2023-03-19 00:00:00.000 UTC,0.18,0.42,Tier2,1998002
2023-03-19 00:00:00.000 UTC,1275.56,35.71,Tier3,168192885.64250404
2023-03-20 00:00:00.000 UTC,6022.28,77.6,Tier1,1696324879.263786
2023-03-20 00:00:00.000 UTC,64.53,8.03,Tier2,175593501.44
2023-03-20 00:00:00.000 UTC,206.31,14.36,Tier3,313972879.59506184
2023-03-21 00:00:00.000 UTC,6852.09,82.78,Tier1,1144360644.6741014
2023-03-21 00:00:00.000 UTC,11.55,3.4,Tier2,46983015.97
2023-03-21 00:00:00.000 UTC,191.11,13.82,Tier3,191112974.09569815
2023-03-22 00:00:00.000 UTC,5515.82,74.27,Tier1,1660798731.4218788
2023-03-22 00:00:00.000 UTC,108.1,10.4,Tier2,232503596.41000003
2023-03-22 00:00:00.000 UTC,235.14,15.33,Tier3,342903866.13875675
2023-03-23 00:00:00.000 UTC,6867.01,82.87,Tier1,1919418087.8879914
2023-03-23 00:00:00.000 UTC,66.88,8.18,Tier2,189418680.26
2023-03-23 00:00:00.000 UTC,80.19,8.95,Tier3,207414959.92006493
2023-03-24 00:00:00.000 UTC,3094.4,55.63,Tier1,1875180788.3738916
2023-03-24 00:00:00.000 UTC,1438.95,37.93,Tier2,1278729620.38
2023-03-24 00:00:00.000 UTC,41.46,6.44,Tier3,217061834.61934105
2023-03-25 00:00:00.000 UTC,741.67,27.23,Tier1,101730681.98170194
2023-03-25 00:00:00.000 UTC,993.51,31.52,Tier2,117742257.74000001
2023-03-25 00:00:00.000 UTC,1701.25,41.25,Tier3,154074237.17841995
2023-03-26 00:00:00.000 UTC,3332.82,57.73,Tier1,179922981.91961104
2023-03-26 00:00:00.000 UTC,1786.7,42.27,Tier3,131736669.03128096
2023-03-27 00:00:00.000 UTC,6923.96,83.21,Tier1,2068056774.7213666
2023-03-27 00:00:00.000 UTC,76.94,8.77,Tier2,218000000
2023-03-27 00:00:00.000 UTC,64.29,8.02,Tier3,199279569.65533596
2023-03-28 00:00:00.000 UTC,6611.24,81.31,Tier1,939335078.914051
2023-03-28 00:00:00.000 UTC,36.82,6.07,Tier2,70100367.04
2023-03-28 00:00:00.000 UTC,159.33,12.62,Tier3,145822593.28841496
2023-03-29 00:00:00.000 UTC,4507.55,67.14,Tier1,435026146.95573807
2023-03-29 00:00:00.000 UTC,1079.89,32.86,Tier3,212929315.79526496
