collateral_token,date,liquidation_count,liquidation_usd
DAI,2024-05-23 00:00:00.000 UTC,1,403843342185156
USDC,2024-05-26 00:00:00.000 UTC,1,287.31606
DAI,2024-06-11 00:00:00.000 UTC,1,86627807357129.84
DAI,2024-06-14 00:00:00.000 UTC,6,199140619876130240
USDC,2024-06-14 00:00:00.000 UTC,4,82919.0842
USDT,2024-06-15 00:00:00.000 UTC,1,2061.608371
USDT,2024-06-16 00:00:00.000 UTC,1,122654.982716
USDC,2024-06-20 00:00:00.000 UTC,1,104.362718
USDC,2024-06-21 00:00:00.000 UTC,1,265.615926
DAI,2024-06-29 00:00:00.000 UTC,1,61371910415624.52
USDT,2024-06-29 00:00:00.000 UTC,1,82.910186
DAI,2024-07-02 00:00:00.000 UTC,1,48148835545576.695
USDC,2024-07-05 00:00:00.000 UTC,1,54038.825495
USDC,2024-07-06 00:00:00.000 UTC,2,87.051208
USDT,2024-07-23 00:00:00.000 UTC,1,7804.390687
USDC,2024-07-24 00:00:00.000 UTC,1,1347.952855
USDC,2024-07-25 00:00:00.000 UTC,1,49.454229
USDT,2024-07-25 00:00:00.000 UTC,1,27.832784
USDC,2024-07-28 00:00:00.000 UTC,1,8.908586
USDC,2024-08-01 00:00:00.000 UTC,2,1012.327444
USDC,2024-08-04 00:00:00.000 UTC,1,91.829197
USDT,2024-08-04 00:00:00.000 UTC,1,221.976783
DAI,2024-08-05 00:00:00.000 UTC,2,15408361709709080
USDC,2024-08-05 00:00:00.000 UTC,23,1872678.0352809997
USDT,2024-08-05 00:00:00.000 UTC,16,1264959.5148449999
DAI,2024-08-16 00:00:00.000 UTC,1,27915906831783.965
USDC,2024-08-21 00:00:00.000 UTC,1,186.961125
USDT,2024-08-21 00:00:00.000 UTC,3,525.487076
USDC,2024-08-22 00:00:00.000 UTC,1,8.344424
USDC,2024-08-23 00:00:00.000 UTC,1,80194.159413
USDT,2024-08-23 00:00:00.000 UTC,2,995.2581409999999
USDC,2024-08-24 00:00:00.000 UTC,1,48.50057
USDC,2024-08-29 00:00:00.000 UTC,1,118.830947
DAI,2024-09-02 00:00:00.000 UTC,1,30040587800047.848
DAI,2024-09-03 00:00:00.000 UTC,1,13027705375443.986
USDT,2024-09-06 00:00:00.000 UTC,2,115.08911599999999
USDT,2024-09-07 00:00:00.000 UTC,1,130.716324
USDT,2024-09-08 00:00:00.000 UTC,1,113.0323
USDC,2024-09-09 00:00:00.000 UTC,1,115.32699
USDT,2024-09-09 00:00:00.000 UTC,1,95.755648
USDC,2024-09-13 00:00:00.000 UTC,1,1133.011674
USDT,2024-09-13 00:00:00.000 UTC,2,29784.123929
USDC,2024-09-15 00:00:00.000 UTC,1,22.765896
USDT,2024-09-16 00:00:00.000 UTC,1,23.444463
USDC,2024-09-21 00:00:00.000 UTC,1,35867.060651
USDC,2024-10-20 00:00:00.000 UTC,1,665.714951
USDT,2024-10-22 00:00:00.000 UTC,1,150.01469
USDC,2024-10-23 00:00:00.000 UTC,1,90.713677
USDT,2024-10-29 00:00:00.000 UTC,1,202.851836
USDC,2024-11-02 00:00:00.000 UTC,1,75.906283
USDC,2024-11-07 00:00:00.000 UTC,1,679.561887
USDC,2024-11-09 00:00:00.000 UTC,2,563.140178
USDT,2024-11-09 00:00:00.000 UTC,2,965.350599
USDT,2024-11-10 00:00:00.000 UTC,2,1704.938403
USDC,2024-11-11 00:00:00.000 UTC,1,51887.340466
USDC,2024-11-12 00:00:00.000 UTC,1,35316.250579
USDT,2024-11-19 00:00:00.000 UTC,1,162326.167044
USDC,2024-11-21 00:00:00.000 UTC,1,405.670614
USDT,2024-11-21 00:00:00.000 UTC,1,843.088613
USDC,2024-11-22 00:00:00.000 UTC,1,633.82349
USDC,2024-11-23 00:00:00.000 UTC,1,59094.673356
USDC,2024-11-25 00:00:00.000 UTC,2,14494.984498
DAI,2024-11-26 00:00:00.000 UTC,1,255352699094557
USDC,2024-11-26 00:00:00.000 UTC,1,295.538347
USDC,2024-11-28 00:00:00.000 UTC,1,409.661363
DAI,2024-11-29 00:00:00.000 UTC,1,154138937064078.03
USDT,2024-11-30 00:00:00.000 UTC,1,489.200753
USDC,2024-12-03 00:00:00.000 UTC,1,8400.686318
USDC,2024-12-04 00:00:00.000 UTC,2,312913.12438399997
USDC,2024-12-08 00:00:00.000 UTC,1,239.586829
USDT,2024-12-08 00:00:00.000 UTC,1,335.718459
USDC,2024-12-14 00:00:00.000 UTC,1,526.296335
USDC,2024-12-23 00:00:00.000 UTC,2,591.428048
USDT,2024-12-25 00:00:00.000 UTC,1,164.927711
USDC,2024-12-28 00:00:00.000 UTC,1,146.757415
USDC,2024-12-30 00:00:00.000 UTC,1,105.769973
USDT,2024-12-30 00:00:00.000 UTC,1,94.914197
USDT,2025-01-01 00:00:00.000 UTC,1,93.050939
USDT,2025-01-09 00:00:00.000 UTC,1,89.902583
USDC,2025-01-12 00:00:00.000 UTC,3,142.30289199999999
USDC,2025-01-14 00:00:00.000 UTC,1,94.567824
USDC,2025-01-15 00:00:00.000 UTC,1,178.367409
USDT,2025-01-17 00:00:00.000 UTC,1,28474.797883
USDC,2025-01-18 00:00:00.000 UTC,1,122.700259
USDT,2025-01-24 00:00:00.000 UTC,1,164.971759
USDC,2025-01-29 00:00:00.000 UTC,1,105.351744
USDT,2025-01-31 00:00:00.000 UTC,1,353.915432
DAI,2025-02-02 00:00:00.000 UTC,1,4956432870635042
USDC,2025-02-03 00:00:00.000 UTC,9,1783412.494562
USDT,2025-02-03 00:00:00.000 UTC,9,94490.90993
USDC,2025-02-05 00:00:00.000 UTC,1,80.919831
USDT,2025-02-05 00:00:00.000 UTC,1,70.27291
USDC,2025-02-19 00:00:00.000 UTC,1,121070.515351
USDC,2025-02-24 00:00:00.000 UTC,1,1329.502154
DAI,2025-02-25 00:00:00.000 UTC,1,100366969829598.02
USDT,2025-02-25 00:00:00.000 UTC,2,412.892341
USDC,2025-02-26 00:00:00.000 UTC,1,38.886989
USDT,2025-02-26 00:00:00.000 UTC,1,45014.41065
USDC,2025-02-27 00:00:00.000 UTC,1,27.61722
DAI,2025-02-28 00:00:00.000 UTC,1,30748450875197.426
USDC,2025-02-28 00:00:00.000 UTC,2,23777.9745
USDT,2025-02-28 00:00:00.000 UTC,1,61.362201
USDC,2025-03-01 00:00:00.000 UTC,1,80.63634
DAI,2025-03-02 00:00:00.000 UTC,1,68918174977227.94
USDC,2025-03-02 00:00:00.000 UTC,1,16836.32258
USDT,2025-03-02 00:00:00.000 UTC,1,54.770658
USDC,2025-03-03 00:00:00.000 UTC,1,5861.585114
USDC,2025-03-04 00:00:00.000 UTC,1,51.81486
USDT,2025-03-04 00:00:00.000 UTC,1,108.241735
USDC,2025-03-09 00:00:00.000 UTC,1,21.052024
USDC,2025-03-10 00:00:00.000 UTC,1,64301.310858
USDT,2025-03-10 00:00:00.000 UTC,2,779.340782
USDC,2025-03-11 00:00:00.000 UTC,1,140.471097
USDT,2025-03-11 00:00:00.000 UTC,4,6976.412424
USDC,2025-03-12 00:00:00.000 UTC,2,429.01741400000003
USDC,2025-03-13 00:00:00.000 UTC,2,84.03759400000001
USDC,2025-03-14 00:00:00.000 UTC,1,58.034169
USDC,2025-03-15 00:00:00.000 UTC,1,18.068873
USDT,2025-03-15 00:00:00.000 UTC,1,18.056216
DAI,2025-03-16 00:00:00.000 UTC,1,18663394262717.31
USDC,2025-03-17 00:00:00.000 UTC,1,22.223679
USDC,2025-03-18 00:00:00.000 UTC,1,48.957143
USDC,2025-03-19 00:00:00.000 UTC,1,25.5813
USDT,2025-03-19 00:00:00.000 UTC,2,83.003413
USDC,2025-03-20 00:00:00.000 UTC,1,65.252522
USDC,2025-03-22 00:00:00.000 UTC,1,1123.861209
USDC,2025-03-24 00:00:00.000 UTC,1,16.216104
DAI,2025-03-25 00:00:00.000 UTC,7,12375643345658.25
USDC,2025-03-25 00:00:00.000 UTC,47,111.85739200000002
USDT,2025-03-25 00:00:00.000 UTC,7,36.316834
DAI,2025-03-26 00:00:00.000 UTC,3,19895426621320.492
USDC,2025-03-26 00:00:00.000 UTC,17,15.645721000000002
USDT,2025-03-26 00:00:00.000 UTC,12,26.751632
DAI,2025-03-28 00:00:00.000 UTC,1,213259410739.90125
USDC,2025-03-28 00:00:00.000 UTC,1,1e-06
USDT,2025-03-28 00:00:00.000 UTC,4,2.810492
USDC,2025-03-30 00:00:00.000 UTC,1,35786.99085
USDT,2025-03-30 00:00:00.000 UTC,1,29.900852
USDC,2025-03-31 00:00:00.000 UTC,1,10514.003503
USDC,2025-04-01 00:00:00.000 UTC,2,58647.32389
USDC,2025-04-02 00:00:00.000 UTC,1,13853.013392
USDC,2025-04-06 00:00:00.000 UTC,3,6922.756711
USDT,2025-04-06 00:00:00.000 UTC,5,12150.249898999999
USDC,2025-04-07 00:00:00.000 UTC,2,316.71490600000004
USDT,2025-04-07 00:00:00.000 UTC,5,169025.668018
USDC,2025-04-08 00:00:00.000 UTC,1,64.864634
DAI,2025-04-09 00:00:00.000 UTC,1,1568367127829034
USDC,2025-04-09 00:00:00.000 UTC,2,2175.892927
USDT,2025-04-09 00:00:00.000 UTC,1,28167.458176
USDC,2025-04-11 00:00:00.000 UTC,1,83.52065
USDT,2025-04-12 00:00:00.000 UTC,1,7624.809965
USDC,2025-04-16 00:00:00.000 UTC,5,631.147265
USDT,2025-04-16 00:00:00.000 UTC,1,3178.369303
DAI,2025-04-21 00:00:00.000 UTC,1,7991550744621.274
USDC,2025-04-21 00:00:00.000 UTC,2,10201.904866
USDC,2025-04-22 00:00:00.000 UTC,2,7991.463466
USDT,2025-04-22 00:00:00.000 UTC,2,61.800380000000004
USDC,2025-04-23 00:00:00.000 UTC,3,133.12577
USDC,2025-04-27 00:00:00.000 UTC,1,6.665454
USDT,2025-04-27 00:00:00.000 UTC,1,6.287461
USDC,2025-05-01 00:00:00.000 UTC,3,128.929811
USDT,2025-05-01 00:00:00.000 UTC,1,58476.136214
USDC,2025-05-08 00:00:00.000 UTC,3,4533.186775
USDT,2025-05-08 00:00:00.000 UTC,2,5033.0489290000005
USDC,2025-05-09 00:00:00.000 UTC,6,77193.605815
USDT,2025-05-09 00:00:00.000 UTC,2,27227.922647
USDC,2025-05-10 00:00:00.000 UTC,1,209.945768
USDT,2025-05-10 00:00:00.000 UTC,2,3547.774411
USDC,2025-05-14 00:00:00.000 UTC,1,16.736897
USDT,2025-05-17 00:00:00.000 UTC,1,264.175461
USDC,2025-05-18 00:00:00.000 UTC,2,132656.69064500002
USDC,2025-05-19 00:00:00.000 UTC,1,4.008821
USDC,2025-05-22 00:00:00.000 UTC,1,416.880108
USDC,2025-05-23 00:00:00.000 UTC,1,118.252503
USDT,2025-05-24 00:00:00.000 UTC,1,1002.387046
DAI,2025-05-26 00:00:00.000 UTC,1,11186266020865.527
USDC,2025-05-26 00:00:00.000 UTC,1,618.143976
USDC,2025-05-28 00:00:00.000 UTC,3,130.277162
USDT,2025-06-02 00:00:00.000 UTC,1,89.626322
USDT,2025-06-04 00:00:00.000 UTC,1,168.964257
USDC,2025-06-05 00:00:00.000 UTC,4,21.538565
USDC,2025-06-07 00:00:00.000 UTC,2,2.1700600000000003
USDC,2025-06-08 00:00:00.000 UTC,1,4.276543
USDC,2025-06-09 00:00:00.000 UTC,1,0.0019
USDT,2025-06-10 00:00:00.000 UTC,1,16.589539
USDT,2025-06-11 00:00:00.000 UTC,3,201.55870299999998
USDC,2025-06-13 00:00:00.000 UTC,1,0.202529
USDC,2025-06-15 00:00:00.000 UTC,1,7.955609
USDC,2025-06-17 00:00:00.000 UTC,1,1.156124
USDT,2025-06-18 00:00:00.000 UTC,1,89.584943
USDC,2025-06-19 00:00:00.000 UTC,2,59.691342999999996
USDT,2025-06-19 00:00:00.000 UTC,1,0.434268
USDC,2025-06-20 00:00:00.000 UTC,2,2128.860796
USDT,2025-06-20 00:00:00.000 UTC,1,1003.418552
USDC,2025-06-21 00:00:00.000 UTC,1,6.713567
USDT,2025-06-22 00:00:00.000 UTC,1,87.664595
USDC,2025-06-23 00:00:00.000 UTC,1,1976.251855
USDC,2025-06-29 00:00:00.000 UTC,1,62.83229
USDC,2025-06-30 00:00:00.000 UTC,1,10.708707
USDC,2025-07-02 00:00:00.000 UTC,1,0.986625
USDC,2025-07-03 00:00:00.000 UTC,1,12.202225
USDT,2025-07-03 00:00:00.000 UTC,1,24.760872
USDC,2025-07-04 00:00:00.000 UTC,1,1.355689
USDC,2025-07-05 00:00:00.000 UTC,1,0.109672
USDC,2025-07-06 00:00:00.000 UTC,2,11.523431
USDC,2025-07-09 00:00:00.000 UTC,1,7.038134
USDC,2025-07-10 00:00:00.000 UTC,4,9922.273659999999
USDT,2025-07-10 00:00:00.000 UTC,1,120.944426
USDC,2025-07-11 00:00:00.000 UTC,2,897.199349
DAI,2025-07-12 00:00:00.000 UTC,1,45133107396826.516
USDC,2025-07-12 00:00:00.000 UTC,1,11.346598
USDC,2025-07-13 00:00:00.000 UTC,1,68.725634
USDT,2025-07-14 00:00:00.000 UTC,1,8.621586
USDT,2025-07-15 00:00:00.000 UTC,2,63604.15446
USDC,2025-07-16 00:00:00.000 UTC,4,1989.674036
USDT,2025-07-16 00:00:00.000 UTC,1,93.31949
DAI,2025-07-17 00:00:00.000 UTC,1,50039752949401.84
USDC,2025-07-17 00:00:00.000 UTC,1,469273.052785
USDC,2025-07-18 00:00:00.000 UTC,3,43997.705905999996
USDT,2025-07-18 00:00:00.000 UTC,2,635.333111
DAI,2025-07-19 00:00:00.000 UTC,1,40428215576291.35
USDC,2025-07-19 00:00:00.000 UTC,1,9.421727
USDT,2025-07-19 00:00:00.000 UTC,1,24.9411
DAI,2025-07-20 00:00:00.000 UTC,1,25485514118411.723
USDC,2025-07-20 00:00:00.000 UTC,4,361955.93636
USDT,2025-07-20 00:00:00.000 UTC,1,20.84542
USDC,2025-07-21 00:00:00.000 UTC,1,35980.318442
USDT,2025-07-21 00:00:00.000 UTC,7,281618.80854299996
DAI,2025-07-22 00:00:00.000 UTC,1,11149889295604.459
USDC,2025-07-22 00:00:00.000 UTC,1,11.203096
USDT,2025-07-22 00:00:00.000 UTC,1,15.071649
DAI,2025-07-23 00:00:00.000 UTC,1,11194843550553.373
USDC,2025-07-23 00:00:00.000 UTC,1,5.632735
USDT,2025-07-23 00:00:00.000 UTC,1,10.809411
USDT,2025-07-25 00:00:00.000 UTC,1,9.416572
USDT,2025-07-26 00:00:00.000 UTC,1,39.232127
DAI,2025-07-28 00:00:00.000 UTC,1,84576684886625
USDC,2025-07-28 00:00:00.000 UTC,3,256887.382573
DAI,2025-07-31 00:00:00.000 UTC,3,3082539361902.1763
USDC,2025-07-31 00:00:00.000 UTC,3,8.940186
USDT,2025-08-01 00:00:00.000 UTC,1,264368.449793
USDC,2025-08-04 00:00:00.000 UTC,2,321736.098861
USDT,2025-08-04 00:00:00.000 UTC,1,195560.321073
USDC,2025-08-07 00:00:00.000 UTC,1,252897.773231
USDT,2025-08-07 00:00:00.000 UTC,1,6.054036
USDC,2025-08-08 00:00:00.000 UTC,3,156069.772445
USDT,2025-08-08 00:00:00.000 UTC,1,30.752723
USDT,2025-08-09 00:00:00.000 UTC,2,114134.05477999999
USDC,2025-08-10 00:00:00.000 UTC,1,80.916021
USDT,2025-08-10 00:00:00.000 UTC,1,1109486.582793
USDC,2025-08-11 00:00:00.000 UTC,2,314.001878
USDC,2025-08-12 00:00:00.000 UTC,1,2281.756544
USDT,2025-08-12 00:00:00.000 UTC,2,81771.545042
DAI,2025-08-13 00:00:00.000 UTC,1,19719437802552404
USDC,2025-08-13 00:00:00.000 UTC,2,6007.405241
USDC,2025-08-16 00:00:00.000 UTC,3,35.568614999999994
USDC,2025-08-17 00:00:00.000 UTC,1,8.717203
USDT,2025-08-17 00:00:00.000 UTC,2,17.17606
USDC,2025-08-18 00:00:00.000 UTC,2,112313.24077399999
USDT,2025-08-18 00:00:00.000 UTC,2,95214.274091
USDC,2025-08-19 00:00:00.000 UTC,1,5165.724454
USDT,2025-08-19 00:00:00.000 UTC,1,5503.253747
USDC,2025-08-22 00:00:00.000 UTC,4,292568.88932
USDT,2025-08-22 00:00:00.000 UTC,3,5459.603861
DAI,2025-08-23 00:00:00.000 UTC,2,42397783167962.28
